page,category,host,kind,rep,first_arm,width,control_bytes,ablated_bytes,own_bytes,diff_bytes,n_aborted
https://amazon.com.br/,shopping,s.amazon-adsystem.com,ablation,0,control,page,7440001,11434573,23955,-4018527,1
https://amazon.com.br/,shopping,s.amazon-adsystem.com,ablation,0,control,third_party,6805484,10790613,23955,-4009084,1
https://amazon.com.br/,shopping,s.amazon-adsystem.com,ablation,0,control,listed,56310,4682,23955,27673,1
https://amazon.com.br/,shopping,s.amazon-adsystem.com,ablation,1,ablated,page,11401330,11466095,23955,-88720,1
https://amazon.com.br/,shopping,s.amazon-adsystem.com,ablation,1,ablated,third_party,10738509,10803040,23955,-88486,1
https://amazon.com.br/,shopping,s.amazon-adsystem.com,ablation,1,ablated,listed,57709,4754,23955,29000,1
https://amazonalexa.com/,productivity,s.amazon-adsystem.com,ablation,0,control,page,7341829,7285974,23952,31903,1
https://amazonalexa.com/,productivity,s.amazon-adsystem.com,ablation,0,control,third_party,7341514,7285659,23952,31903,1
https://amazonalexa.com/,productivity,s.amazon-adsystem.com,ablation,0,control,listed,57023,3858,23952,29213,1
https://amazonalexa.com/,productivity,s.amazon-adsystem.com,ablation,1,ablated,page,7338577,7285258,23952,29367,1
https://amazonalexa.com/,productivity,s.amazon-adsystem.com,ablation,1,ablated,third_party,7338262,7284943,23952,29367,1
https://amazonalexa.com/,productivity,s.amazon-adsystem.com,ablation,1,ablated,listed,55695,3838,23952,27905,1
https://amzn.to/,infrastructure,s.amazon-adsystem.com,ablation,0,control,page,2572237,2523869,23952,24416,1
https://amzn.to/,infrastructure,s.amazon-adsystem.com,ablation,0,control,third_party,2571791,2523423,23952,24416,1
https://amzn.to/,infrastructure,s.amazon-adsystem.com,ablation,0,control,listed,55901,8306,23952,23643,1
https://amzn.to/,infrastructure,s.amazon-adsystem.com,ablation,1,ablated,page,2575461,2524558,23952,26951,1
https://amzn.to/,infrastructure,s.amazon-adsystem.com,ablation,1,ablated,third_party,2575015,2524112,23952,26951,1
https://amzn.to/,infrastructure,s.amazon-adsystem.com,ablation,1,ablated,listed,57041,8306,23952,24783,1
https://att.com/,productivity,cdn.quantummetric.com,ablation,0,control,page,7120498,7242435,206108,-328045,2
https://att.com/,productivity,cdn.quantummetric.com,ablation,0,control,third_party,1094354,883471,206108,4775,2
https://att.com/,productivity,cdn.quantummetric.com,ablation,0,control,listed,857836,646570,206108,5158,2
https://att.com/,productivity,cdn.quantummetric.com,ablation,1,ablated,page,7088103,7216707,206109,-334713,2
https://att.com/,productivity,cdn.quantummetric.com,ablation,1,ablated,third_party,1090723,881112,206109,3502,2
https://att.com/,productivity,cdn.quantummetric.com,ablation,1,ablated,listed,853640,643201,206109,4330,2
https://att.com/,productivity,connect.facebook.net,ablation,0,control,page,7423262,7254111,178467,-9316,1
https://att.com/,productivity,connect.facebook.net,ablation,0,control,third_party,1085026,910626,178467,-4067,1
https://att.com/,productivity,connect.facebook.net,ablation,0,control,listed,848236,675442,178467,-5673,1
https://att.com/,productivity,connect.facebook.net,ablation,1,ablated,page,7116921,6925087,178468,13366,1
https://att.com/,productivity,connect.facebook.net,ablation,1,ablated,third_party,1089447,908171,178468,2808,1
https://att.com/,productivity,connect.facebook.net,ablation,1,ablated,listed,852057,671266,178468,2323,1
https://att.com/,productivity,s2.go-mpulse.net,ablation,0,control,page,7120144,6991667,118330,10147,4
https://att.com/,productivity,s2.go-mpulse.net,ablation,0,control,third_party,1095605,965826,118330,11449,4
https://att.com/,productivity,s2.go-mpulse.net,ablation,0,control,listed,858072,729034,118330,10708,4
https://att.com/,productivity,s2.go-mpulse.net,ablation,1,ablated,page,7392081,7299250,118330,-25499,4
https://att.com/,productivity,s2.go-mpulse.net,ablation,1,ablated,third_party,1051090,961702,118330,-28942,4
https://att.com/,productivity,s2.go-mpulse.net,ablation,1,ablated,listed,814512,724897,118330,-28715,4
https://att.com/,productivity,_JOINT,joint,0,control,page,7426708,6914008,502821,9879,7
https://att.com/,productivity,_JOINT,joint,0,control,third_party,1085156,571236,502821,11099,7
https://att.com/,productivity,_JOINT,joint,0,control,listed,848197,335263,502821,10113,7
https://att.com/,productivity,_JOINT,joint,1,ablated,page,7421855,6588861,502821,330173,7
https://att.com/,productivity,_JOINT,joint,1,ablated,third_party,1081758,575667,502821,3270,7
https://att.com/,productivity,_JOINT,joint,1,ablated,listed,849838,339690,502821,7327,7
https://braze.com/,productivity,js.qualified.com,ablation,0,control,page,7474820,6315746,463635,695439,1
https://braze.com/,productivity,js.qualified.com,ablation,0,control,third_party,4494301,2935806,463635,1094860,1
https://braze.com/,productivity,js.qualified.com,ablation,0,control,listed,2063237,503812,463635,1095790,1
https://braze.com/,productivity,js.qualified.com,ablation,1,ablated,page,8013669,6312309,476676,1224684,1
https://braze.com/,productivity,js.qualified.com,ablation,1,ablated,third_party,4633729,2932400,476676,1224653,1
https://braze.com/,productivity,js.qualified.com,ablation,1,ablated,listed,2202370,501336,476676,1224358,1
https://braze.com/,productivity,dev.visualwebsiteoptimizer.com,ablation,0,control,page,8016635,7781882,222563,12190,2
https://braze.com/,productivity,dev.visualwebsiteoptimizer.com,ablation,0,control,third_party,4636733,4401981,222563,12189,2
https://braze.com/,productivity,dev.visualwebsiteoptimizer.com,ablation,0,control,listed,2205782,1970972,222563,12247,2
https://braze.com/,productivity,dev.visualwebsiteoptimizer.com,ablation,1,ablated,page,8015478,7794210,221264,4,2
https://braze.com/,productivity,dev.visualwebsiteoptimizer.com,ablation,1,ablated,third_party,4635549,4414298,221264,-13,2
https://braze.com/,productivity,dev.visualwebsiteoptimizer.com,ablation,1,ablated,listed,2204560,1983234,221264,62,2
https://braze.com/,productivity,app.qualified.com,ablation,0,control,page,8003548,6583973,16858,1402717,11
https://braze.com/,productivity,app.qualified.com,ablation,0,control,third_party,4623694,3204048,16858,1402788,11
https://braze.com/,productivity,app.qualified.com,ablation,0,control,listed,2192597,772725,16858,1403014,11
https://braze.com/,productivity,app.qualified.com,ablation,1,ablated,page,7403759,6584193,16858,802708,11
https://braze.com/,productivity,app.qualified.com,ablation,1,ablated,third_party,4494037,3203861,16858,1273318,11
https://braze.com/,productivity,app.qualified.com,ablation,1,ablated,listed,2063048,772872,16858,1273318,11
https://braze.com/,productivity,_JOINT,joint,0,control,page,8004021,6056488,704667,1242866,3
https://braze.com/,productivity,_JOINT,joint,0,control,third_party,4624087,2713414,704667,1206006,3
https://braze.com/,productivity,_JOINT,joint,0,control,listed,2192358,282425,704667,1205266,3
https://braze.com/,productivity,_JOINT,joint,1,ablated,page,8015714,5921978,714715,1379021,3
https://braze.com/,productivity,_JOINT,joint,1,ablated,third_party,4636421,2710975,714715,1210731,3
https://braze.com/,productivity,_JOINT,joint,1,ablated,listed,2204331,279590,714715,1210026,3
https://creativecommons.org/,reference,region1.analytics.google.com,ablation,0,control,page,20661338,20659525,1920,-107,3
https://creativecommons.org/,reference,region1.analytics.google.com,ablation,0,control,third_party,183964,182044,1920,0,3
