page,category,host,kind,rep,first_arm,width,control_bytes,ablated_bytes,own_bytes,diff_bytes,n_aborted
https://amazon.ca/,shopping,_AA,aa,0,control,page,6626124,5915571,0,710553,0
https://amazon.ca/,shopping,_AA,aa,0,control,third_party,6131187,5423904,0,707283,0
https://amazon.ca/,shopping,_AA,aa,0,control,listed,56447,0,0,56447,0
https://amazon.ca/,shopping,_AA,aa,1,ablated,page,3258145,3257121,0,1024,0
https://amazon.ca/,shopping,_AA,aa,1,ablated,third_party,2734848,2732257,0,2591,0
https://amazon.ca/,shopping,_AA,aa,1,ablated,listed,58933,56481,0,2452,0
https://amazon.com.br/,shopping,_AA,aa,0,control,page,11524102,11293885,0,230217,0
https://amazon.com.br/,shopping,_AA,aa,0,control,third_party,10849402,10692246,0,157156,0
https://amazon.com.br/,shopping,_AA,aa,0,control,listed,55957,55837,0,120,0
https://amazon.com.br/,shopping,_AA,aa,1,ablated,page,11500844,11634838,0,-133994,0
https://amazon.com.br/,shopping,_AA,aa,1,ablated,third_party,10804594,10951046,0,-146452,0
https://amazon.com.br/,shopping,_AA,aa,1,ablated,listed,56778,55651,0,1127,0
https://amazon.com.br/,shopping,s.amazon-adsystem.com,ablation,0,control,page,7389662,7354916,23955,10791,1
https://amazon.com.br/,shopping,s.amazon-adsystem.com,ablation,0,control,third_party,6772604,6716930,23955,31719,1
https://amazon.com.br/,shopping,s.amazon-adsystem.com,ablation,0,control,listed,57698,4388,23955,29355,1
https://amazon.com.br/,shopping,s.amazon-adsystem.com,ablation,1,ablated,page,11478175,11464847,23955,-10627,1
https://amazon.com.br/,shopping,s.amazon-adsystem.com,ablation,1,ablated,third_party,10806310,10784440,23955,-2085,1
https://amazon.com.br/,shopping,s.amazon-adsystem.com,ablation,1,ablated,listed,56663,4059,23955,28649,1
https://amazon.com.br/,shopping,s.amazon-adsystem.com,ablation,2,control,page,7689463,7336545,23955,328963,1
https://amazon.com.br/,shopping,s.amazon-adsystem.com,ablation,2,control,third_party,7020705,6673230,23955,323520,1
https://amazon.com.br/,shopping,s.amazon-adsystem.com,ablation,2,control,listed,53608,4434,23955,25219,1
https://amazon.com.br/,shopping,images-na.ssl-images-amazon.com,ablation,0,control,page,7515861,7793832,4198,-282169,1
https://amazon.com.br/,shopping,images-na.ssl-images-amazon.com,ablation,0,control,third_party,6880955,7110692,4198,-233935,1
https://amazon.com.br/,shopping,images-na.ssl-images-amazon.com,ablation,0,control,listed,52700,53887,4198,-5385,1
https://amazon.com.br/,shopping,images-na.ssl-images-amazon.com,ablation,1,ablated,page,11860099,7797008,4178,4058913,1
https://amazon.com.br/,shopping,images-na.ssl-images-amazon.com,ablation,1,ablated,third_party,11190024,7181133,4178,4004713,1
https://amazon.com.br/,shopping,images-na.ssl-images-amazon.com,ablation,1,ablated,listed,56334,53894,4178,-1738,1
https://amazon.com.br/,shopping,images-na.ssl-images-amazon.com,ablation,2,control,page,7791524,7973819,4178,-186473,1
https://amazon.com.br/,shopping,images-na.ssl-images-amazon.com,ablation,2,control,third_party,7156154,7352096,4178,-200120,1
https://amazon.com.br/,shopping,images-na.ssl-images-amazon.com,ablation,2,control,listed,58802,53866,4178,758,1
https://amazon.com.br/,shopping,aes.us-east.ono.axp.amazon-adsystem.com,ablation,0,control,page,7875809,11831423,336,-3955950,3
https://amazon.com.br/,shopping,aes.us-east.ono.axp.amazon-adsystem.com,ablation,0,control,third_party,7253537,11159909,336,-3906708,3
https://amazon.com.br/,shopping,aes.us-east.ono.axp.amazon-adsystem.com,ablation,0,control,listed,57824,57455,336,33,3
https://amazon.com.br/,shopping,aes.us-east.ono.axp.amazon-adsystem.com,ablation,1,ablated,page,12050777,11885490,336,164951,3
https://amazon.com.br/,shopping,aes.us-east.ono.axp.amazon-adsystem.com,ablation,1,ablated,third_party,11414991,11255405,336,159250,3
https://amazon.com.br/,shopping,aes.us-east.ono.axp.amazon-adsystem.com,ablation,1,ablated,listed,56306,57168,336,-1198,3
https://amazon.com.br/,shopping,aes.us-east.ono.axp.amazon-adsystem.com,ablation,2,control,page,11819037,7845373,336,3973328,3
https://amazon.com.br/,shopping,aes.us-east.ono.axp.amazon-adsystem.com,ablation,2,control,third_party,11166552,7220978,336,3945238,3
https://amazon.com.br/,shopping,aes.us-east.ono.axp.amazon-adsystem.com,ablation,2,control,listed,56884,55678,336,870,3
https://amazonalexa.com/,productivity,_AA,aa,0,control,page,7338506,7334936,0,3570,0
https://amazonalexa.com/,productivity,_AA,aa,0,control,third_party,7338191,7334621,0,3570,0
