domain,n_req,bytes,tracker_bytes,n_tracker_req,n_tracker_hosts
a-mo.net,1,0,0,1,1
achmea.nl,57,2133028,0,2,1
addtoany.com,12,38892,38892,12,2
adriver.ru,84,5391187,5362020,78,7
adsrvr.org,6,135638,105302,5,3
afternic.com,84,1864876,70204,2,2
agoda.com,95,4111008,246834,9,6
agora.io,61,2348842,0,0,0
airbnb.com,266,4746237,3547535,202,17
alibaba.com,62,1488917,620308,16,8
aliexpress.com,50,1182223,287573,12,2
amazon.ca,130,2582723,607824,54,31
amazon.com.br,122,2422850,17063,41,27
amazon.fr,93,6863486,607881,10,3
amazontrust.com,31,244363,0,0,0
ameblo.jp,29,443719,0,4,2
amplitude.com,685,7403777,4122271,491,54
android.com,83,2873025,0,4,3
anthropic.com,61,2090495,0,0,0
aol.com,739,5361981,2753040,616,182
apache.org,74,1296555,0,0,0
appcenter.ms,25,1809392,132,3,2
apple.com,41,4144382,0,0,0
applovin.com,371,37766057,19824598,278,36
appsflyer.com,218,9212312,8187353,170,34
arcgis.com,98,3454638,0,0,0
archive.org,20,81104,0,0,0
arxiv.org,30,820947,0,0,0
atlassian.com,262,7785863,797152,125,39
att.com,345,8521209,354550,201,60
auvik.com,180,8066287,640313,62,26
avast.com,106,1376239,255718,40,17
baidu.com,22,265904,220692,19,2
bandcamp.com,155,4034904,66284,7,3
bankofamerica.com,164,4671766,416267,36,8
base.org,194,7809429,341016,94,5
bbc.com,280,3426086,1401160,177,71
berkeley.edu,50,3457740,9041,5,4
biblegateway.com,480,3507657,2452286,395,108
bing.com,76,373425,0,0,0
bitrix24.ru,48,1512019,42778,13,4
blackberry.com,62,2934374,7760,4,3
blogger.com,15,240498,0,0,0
box.com,255,2190146,167232,82,29
branch.io,82,867785,674342,79,9
brave.com,52,309928,0,0,0
braze.com,381,4933931,2424053,320,62
bsky.app,81,6291159,0,0,0
businessinsider.com,533,3502612,2245887,442,159
buydomains.com,255,6955260,725311,37,8
ca.gov,15,509548,0,0,0
calendly.com,66,4079279,0,0,0
canva.com,72,5531059,448965,22,6
capcut.com,89,2925481,159383,12,6
capgemini.com,97,2943919,221137,18,2
cbsnews.com,52,3184472,64118,1,1
cdnvideo.ru,221,6451118,204739,17,5
